Title,Link,Inferred Organism,PMCID,PMID,pub_date,first_author,abstract
Artificial gravity partially protects space-induced neurological deficits in Drosophila melanogaster.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10503492/,fruit fly,PMC10503492,36070701,2022 Sep 6,Mhatre SD,"1. Cell Rep. 2022 Sep 6;40(10):111279. doi: 10.1016/j.celrep.2022.111279.

Artificial gravity partially protects space-induced neurological deficits in 
Drosophila melanogaster.

Mhatre SD(1), Iyer J(2), Petereit J(3), Dolling-Boreham RM(4), Tyryshkina A(5), 
Paul AM(6), Gilbert R(7), Jensen M(5), Woolsey RJ(8), Anand S(9), Sowa MB(10), 
Quilici DR(8), Costes SV(10), Girirajan S(5), Bhattacharya S(11).

Author information:
(1)Space Biosciences Division, NASA Ames Research Center, Moffett Field, CA 
94035, USA; KBR, NASA Ames Research Center, Moffett Field, CA 94035, USA; 
COSMIAC Research Center, University of New Mexico, Albuquerque, NM 87131, USA.
(2)Space Biosciences Division, NASA Ames Research Center, Moffett Field, CA 
94035, USA; KBR, NASA Ames Research Center, Moffett Field, CA 94035, USA; 
Universities Space Research Association, Mountain View, CA 94043, USA.
(3)Nevada Bioinformatics Center, University of Nevada, Reno, NV 89557, USA.
(4)Department of Electrical and Biomedical Engineering, McMaster University, 
Hamilton, ON L8S 4L8, Canada; Blue Marble Space Institute of Science, Seattle, 
WA 94035, USA.
(5)Department of Biochemistry & Molecular Biology, Pennsylvania State 
University, University Park, PA 16802, USA.
(6)Space Biosciences Division, NASA Ames Research Center, Moffett Field, CA 
94035, USA; Universities Space Research Association, Mountain View, CA 94043, 
USA; Blue Marble Space Institute of Science, Seattle, WA 94035, USA; NASA 
Postdoctoral Program, Universities Space Research Association, NASA Ames 
Research Center, Moffett Field, CA 94035, USA; Embry-Riddle Aeronautical 
University, Department of Human Factors and Behavioral Neurobiology, Daytona 
Beach, FL 32114, USA.
(7)Space Biosciences Division, NASA Ames Research Center, Moffett Field, CA 
94035, USA; NASA Postdoctoral Program, Universities Space Research Association, 
NASA Ames Research Center, Moffett Field, CA 94035, USA.
(8)Nevada Proteomics Center, University of Nevada, Reno, NV 89557, USA.
(9)Department of Biological Sciences, San Jose State University, San Jose, CA 
95192, USA.
(10)Space Biosciences Division, NASA Ames Research Center, Moffett Field, CA 
94035, USA.
(11)Space Biosciences Division, NASA Ames Research Center, Moffett Field, CA 
94035, USA; Biological and Physical Sciences Division, NASA Headquarters, 
Washington DC 20024, USA. Electronic address: sharmila.bhattacharya@nasa.gov.

Spaceflight poses risks to the central nervous system (CNS), and understanding 
neurological responses is important for future missions. We report CNS changes 
in Drosophila aboard the International Space Station in response to spaceflight 
microgravity (SFμg) and artificially simulated Earth gravity (SF1g) via inflight 
centrifugation as a countermeasure. While inflight behavioral analyses of SFμg 
exhibit increased activity, postflight analysis displays significant climbing 
defects, highlighting the sensitivity of behavior to altered gravity. 
Multi-omics analysis shows alterations in metabolic, oxidative stress and 
synaptic transmission pathways in both SFμg and SF1g; however, neurological 
changes immediately postflight, including neuronal loss, glial cell count 
alterations, oxidative damage, and apoptosis, are seen only in SFμg. 
Additionally, progressive neuronal loss and a glial phenotype in SF1g and SFμg 
brains, with pronounced phenotypes in SFμg, are seen upon acclimation to Earth 
conditions. Overall, our results indicate that artificial gravity partially 
protects the CNS from the adverse effects of spaceflight.

Published by Elsevier Inc.

DOI: 10.1016/j.celrep.2022.111279
PMCID: PMC10503492
PMID: 36070701 [Indexed for MEDLINE]

Conflict of interest statement: Declaration of interests The authors declare no 
competing interests."
Utilizing the KSC fixation tube to conduct human-tended plant biology experiments on a suborbital spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9693084/,human,PMC9693084,36431005,2022 Nov 13,Haveman NJ,"1. Life (Basel). 2022 Nov 13;12(11):1871. doi: 10.3390/life12111871.

Utilizing the KSC Fixation Tube to Conduct Human-Tended Plant Biology 
Experiments on a Suborbital Spaceflight.

Haveman NJ(1), Zhou M(1), Callaham J(1), Strickland HF(1)(2), Houze D(3), 
Manning-Roach S(3), Newsham G(4), Paul AL(1)(5), Ferl RJ(1)(6).

Author information:
(1)Department of Horticultural Sciences, University of Florida, 2550 Hull Road, 
Fifield Hall, Gainesville, FL 32611, USA.
(2)Plant Molecular and Cellular Biology Program, University of Florida, 2550 
Hull Road, Fifield Hall, Gainesville, FL 32611, USA.
(3)Aegis Aerospace Inc., Kennedy Space Center, Merritt Island, FL 32889, USA.
(4)Consolidated Safety Services, Inc., Merritt Island, FL 32953, USA.
(5)Interdisciplinary Center for Biotechnology Research, University of Florida, 
2033 Mowry Road, Gainesville, FL 32610, USA.
(6)Office of Research, University of Florida, 1523 Union Rd, Grinter Hall, 
Gainesville, FL 32611, USA.

Suborbital spaceflights now enable human-tended research investigating 
short-term gravitational effects in biological systems, eliminating the need for 
complex automation. Here, we discuss a method utilizing KSC Fixation Tubes 
(KFTs) to both carry biology to suborbital space as well as fix that biology at 
certain stages of flight. Plants on support media were inserted into the sample 
side of KFTs preloaded with RNAlater in the fixation chamber. The KFTs were 
activated at various stages of a simulated flight to fix the plants. RNA-seq 
analysis conducted on tissue samples housed in KFTs, showed that plants behaved 
consistently in KFTs when compared to petri-plates. Over the time course, roots 
adjusted to hypoxia and leaves adjusted to changes in photosynthesis. These 
responses were due in part to the environment imposed by the encased triple 
containment of the KFTs, which is a requirement for flight in human spacecraft. 
While plants exhibited expected reproducible transcriptomic alteration over time 
in the KFTs, responses to clinorotation during the simulated flight suggest that 
transcriptomic responses to suborbital spaceflight can be examined using this 
approach.

DOI: 10.3390/life12111871
PMCID: PMC9693084
PMID: 36431005

Conflict of interest statement: The authors declare no conflict of interest."
Changes in Mouse Thymus and Spleen after Return from the STS-135 Mission in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3792163/,mouse,PMC3792163,24116253,2013,Gridley DS,"1. PLoS One. 2013 Sep 
27;8(9):10.1371/annotation/e66bdc4e-2409-4582-b163-7bc182db275e. doi: 
10.1371/annotation/e66bdc4e-2409-4582-b163-7bc182db275e. eCollection 2013.

Correction: Changes in Mouse Thymus and Spleen after Return from the STS-135 
Mission in Space.

Gridley DS, Mao XW, Stodieck LS, Ferguson VL, Bateman TA, Moldovan M, Cunningham 
CE, Jones TA, Slater JM, Pecaut MJ.

Erratum for
    PLoS One. 2013 Sep 19;8(9):e75097. doi: 10.1371/journal.pone.0075097.

[This corrects the article on p. e75097 in vol. 8.].

DOI: 10.1371/annotation/e66bdc4e-2409-4582-b163-7bc182db275e
PMCID: PMC3792163
PMID: 24116253

Conflict of interest statement: Competing Interests: No competing interests 
declared."
Post-Spaceflight (STS-135) Mouse Splenocytes Demonstrate Altered Activation Properties and Surface Molecule Expression.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4430214/,mouse,PMC4430214,25970640,2015,Hwang SA,"1. PLoS One. 2015 May 13;10(5):e0124380. doi: 10.1371/journal.pone.0124380. 
eCollection 2015.

Post-Spaceflight (STS-135) Mouse Splenocytes Demonstrate Altered Activation 
Properties and Surface Molecule Expression.

Hwang SA(1), Crucian B(2), Sams C(3), Actor JK(1).

Author information:
(1)Department of Pathology and Laboratory Medicine, University of Texas Medical 
School at Houston, Houston, Texas, United States of America.
(2)Division of Biomedical and Environmental Sciences, NASA Johnson Space Center, 
Houston, Texas, United States of America.
(3)Space and Clinical Operations Division, NASA Johnson Space Center, Houston, 
Texas, United States of America.

Alterations in immune function have been documented during or post-spaceflight 
and in ground based models of microgravity. Identification of immune parameters 
that are dysregulated during spaceflight is an important step in mitigating crew 
health risks during deep space missions. The in vitro analysis of leukocyte 
activity post-spaceflight in both human and animal species is primarily focused 
on lymphocytic function. This report completes a broader spectrum analysis of 
mouse lymphocyte and monocyte changes post 13 days orbital flight (mission 
STS-135). Analysis includes an examination in surface markers for cell 
activation, and antigen presentation and co-stimulatory molecules. Cytokine 
production was measured after stimulation with T-cell mitogen or TLR-2, TLR-4, 
or TLR-5 agonists. Splenocyte surface marker analysis immediate post-spaceflight 
and after in vitro culture demonstrated unique changes in phenotypic populations 
between the flight mice and matched treatment ground controls. Post-spaceflight 
splenocytes (flight splenocytes) had lower expression intensity of CD4+CD25+ and 
CD8+CD25+ cells, lower percentage of CD11c+MHC II+ cells, and higher percentage 
of CD11c+MHC I+ populations compared to ground controls. The flight splenocytes 
demonstrated an increase in phagocytic activity. Stimulation with ConA led to 
decrease in CD4+ population but increased CD4+CD25+ cells compared to ground 
controls. Culturing with TLR agonists led to a decrease in CD11c+ population in 
splenocytes isolated from flight mice compared to ground controls. Consequently, 
flight splenocytes with or without TLR-agonist stimulation showed a decrease in 
CD11c+MHC I+, CD11c+MHC II+, and CD11c+CD86+ cells compared to ground controls. 
Production of IFN-γ was decreased and IL-2 was increased from ConA stimulated 
flight splenocytes. This study demonstrated that expression of surface molecules 
can be affected by conditions of spaceflight and impaired responsiveness 
persists under culture conditions in vitro.

DOI: 10.1371/journal.pone.0124380
PMCID: PMC4430214
PMID: 25970640 [Indexed for MEDLINE]

Conflict of interest statement: Competing Interests: The authors have declared 
that no competing interests exist."
Changes in the distribution and function of leukocytes after whole-body iron ion irradiation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5045078/,cell culture,PMC5045078,27380804,2016 Sep,Gridley DS,"1. J Radiat Res. 2016 Sep;57(5):477-491. doi: 10.1093/jrr/rrw051. Epub 2016 Jul
5.

Changes in the distribution and function of leukocytes after whole-body iron ion 
irradiation.

Gridley DS(1), Pecaut MJ(2).

Author information:
(1)Department of Basic Sciences, Division of Radiation Research, Loma Linda 
University School of Medicine, Chan Shun Pavilion, 11175 Campus Street, Loma 
Linda, CA 92354, USA.
(2)Department of Basic Sciences, Division of Radiation Research, Loma Linda 
University School of Medicine, Chan Shun Pavilion, 11175 Campus Street, Loma 
Linda, CA 92354, USA mpecaut@llu.edu.

High-energy particle radiation could have a considerable impact on health during 
space missions. This study evaluated C57BL/6 mice on Day 40 after total-body 
56Fe26+ irradiation at 0, 1, 2 and 3 gray (Gy). Radiation consistently increased 
thymus mass (one-way ANOVA: P < 0.005); spleen, liver and lung masses were 
similar among all groups. In the blood, there was no radiation effect on the 
white blood cell (WBC) count or major leukocyte types. However, the red blood 
cell count, hemoglobin, hematocrit and the CD8+ T cytotoxic (Tc) cell count and 
percentage all decreased, while both the CD4:CD8 (Th:Tc) cell ratio and 
spontaneous blastogenesis increased, in one or more irradiated groups compared 
with unirradiated controls (P < 0.05 vs 0 Gy). In contrast, splenic WBC, 
lymphocyte, B cell and T helper (Th) counts, %B cells and the CD4:CD8 ratio were 
all significantly elevated, while Tc percentages decreased, in one or more of 
the irradiated groups compared with controls (P < 0.05 vs 0 Gy). Although there 
were trends for minor, radiation-induced increases in %CD11b+ granulocytes in 
the spleen, cells double-labeled with adhesion markers (CD11b+CD54+, 
CD11b+CD62E+) were normal. Splenocyte spontaneous blastogenesis and that induced 
by mitogens (PHA, ConA, LPS) was equivalent to normal. In bone marrow, the 
percentage of cells expressing stem cell markers, Sca-1 and CD34/Sca-1, were low 
in one or more of the irradiated groups (P < 0.05 vs 0 Gy). Collectively, the 
data indicate that significant immunological abnormalities still exist more than 
a month after 56Fe irradiation and that there are differences dependent upon 
body compartment.

© The Author 2016. Published by Oxford University Press on behalf of The Japan 
Radiation Research Society and Japanese Society for Radiation Oncology.

DOI: 10.1093/jrr/rrw051
PMCID: PMC5045078
PMID: 27380804 [Indexed for MEDLINE]"
Is spaceflight-induced immune dysfunction linked to systemic changes in metabolism?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5443495/,human cell line,PMC5443495,28542224,2017,Pecaut MJ,"1. PLoS One. 2017 May 24;12(5):e0174174. doi: 10.1371/journal.pone.0174174. 
eCollection 2017.

Is spaceflight-induced immune dysfunction linked to systemic changes in 
metabolism?

Pecaut MJ(1), Mao XW(1), Bellinger DL(2), Jonscher KR(3), Stodieck LS(4), 
Ferguson VL(4), Bateman TA(5), Mohney RP(6), Gridley DS(1).

Author information:
(1)Department of Basic Sciences, Division of Radiation Research, Loma Linda 
University School of Medicine, Loma Linda, CA, United States of America.
(2)Department of Anatomy, Loma Linda University, Loma Linda, CA, United States 
of America.
(3)Department of Anesthesiology, School of Medicine, University of Colorado 
Anschutz Medical Campus, Denver, CO, United States of America.
(4)BioServe Space Technologies, University of Colorado at Boulder, Boulder, CO, 
United States of America.
(5)Department of Bioengineering, University of North Carolina at Chapel Hill, 
Chapel Hill, NC, United States of America.
(6)Metabolon, Inc., Morrisville, NC, United States of America.

The Space Shuttle Atlantis launched on its final mission (STS-135) on July 8, 
2011. After just under 13 days, the shuttle landed safely at Kennedy Space 
Center (KSC) for the last time. Female C57BL/6J mice flew as part of the 
Commercial Biomedical Testing Module-3 (CBTM-3) payload. Ground controls were 
maintained at the KSC facility. Subsets of these mice were made available to 
investigators as part of NASA's Bio-specimen Sharing Program (BSP). Our group 
characterized cell phenotype distributions and phagocytic function in the 
spleen, catecholamine and corticosterone levels in the adrenal glands, and 
transcriptomics/metabolomics in the liver. Despite decreases in most splenic 
leukocyte subsets, there were increases in reactive oxygen species (ROS)-related 
activity. Although there were increases noted in corticosterone levels in both 
the adrenals and liver, there were no significant changes in catecholamine 
levels. Furthermore, functional analysis of gene expression and metabolomic 
profiles suggest that the functional changes are not due to oxidative or 
psychological stress. Despite changes in gene expression patterns indicative of 
increases in phagocytic activity (e.g. endocytosis and formation of 
peroxisomes), there was no corresponding increase in genes related to ROS 
metabolism. In contrast, there were increases in expression profiles related to 
fatty acid oxidation with decreases in glycolysis-related profiles. Given the 
clear link between immune function and metabolism in many ground-based diseases, 
we propose a similar link may be involved in spaceflight-induced decrements in 
immune and metabolic function.

DOI: 10.1371/journal.pone.0174174
PMCID: PMC5443495
PMID: 28542224 [Indexed for MEDLINE]

Conflict of interest statement: Competing Interests: Robert Mohney is an 
employee of Metabolon, Inc., a fee-for-service metabolomics company, and, as 
such, has affiliations with or financial involvement with Metabolon, Inc. The 
author has no other relevant affiliations or financial involvement with any 
organization or entity with a financial interest in or financial conflict with 
the subject matter or materials discussed in the manuscript apart from those 
disclosed. This does not alter our adherence to PLOS ONE policies on sharing 
data and materials."
Spaceflight Activates Autophagy Programs and the Proteasome in Mouse Liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666744/,mouse,PMC5666744,28953266,2017 Sep 27,Blaber EA,"1. Int J Mol Sci. 2017 Sep 27;18(10):2062. doi: 10.3390/ijms18102062.

Spaceflight Activates Autophagy Programs and the Proteasome in Mouse Liver.

Blaber EA(1)(2), Pecaut MJ(3), Jonscher KR(4).

Author information:
(1)Universities Space Research Association, Mountain View, CA 94040, USA. 
e.blaber@nasa.gov.
(2)NASA Ames Research Center, Moffett Field, CA 94035, USA. e.blaber@nasa.gov.
(3)Department of Basic Sciences, Division of Radiation Research, Loma Linda 
University School of Medicine, Loma Linda, CA 92350, USA. mpecaut@llu.edu.
(4)Department of Anesthesiology, University of Colorado Anschutz Medical Campus, 
Aurora, CO 80045, USA. karen.jonscher@ucdenver.edu.

Increased oxidative stress is an unavoidable consequence of exposure to the 
space environment. Our previous studies showed that mice exposed to space for 
13.5 days had decreased glutathione levels, suggesting impairments in oxidative 
defense. Here we performed unbiased, unsupervised and integrated multi-'omic 
analyses of metabolomic and transcriptomic datasets from mice flown aboard the 
Space Shuttle Atlantis. Enrichment analyses of metabolite and gene sets showed 
significant changes in osmolyte concentrations and pathways related to 
glycerophospholipid and sphingolipid metabolism, likely consequences of relative 
dehydration of the spaceflight mice. However, we also found increased enrichment 
of aminoacyl-tRNA biosynthesis and purine metabolic pathways, concomitant with 
enrichment of genes associated with autophagy and the ubiquitin-proteasome. When 
taken together with a downregulation in nuclear factor (erythroid-derived 
2)-like 2-mediated signaling, our analyses suggest that decreased hepatic 
oxidative defense may lead to aberrant tRNA post-translational processing, 
induction of degradation programs and senescence-associated mitochondrial 
dysfunction in response to the spaceflight environment.

DOI: 10.3390/ijms18102062
PMCID: PMC5666744
PMID: 28953266 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no conflict of interest."
Vive la radior√©sistance!: Converging research in radiobiology and biogerontology to enhance human radioresistance for deep space exploration and colonization.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5865701/,human,PMC5865701,29581875,2018 Mar 6,Cortese F,"1. Oncotarget. 2018 Feb 12;9(18):14692-14722. doi: 10.18632/oncotarget.24461. 
eCollection 2018 Mar 6.

Vive la radiorésistance!: converging research in radiobiology and biogerontology 
to enhance human radioresistance for deep space exploration and colonization.

Cortese F(1)(2), Klokov D(3)(4), Osipov A(5)(6)(7), Stefaniak J(1)(8), Moskalev 
A(7)(9)(10), Schastnaya J(5), Cantor C(11), Aliper A(5)(12), Mamoshina P(5)(13), 
Ushakov I(6), Sapetsky A(6), Vanhaelen Q(5), Alchinova I(14)(15), Karganov 
M(14), Kovalchuk O(16)(17), Wilkins R(18), Shtemberg A(19), Moreels M(20), 
Baatout S(20)(21), Izumchenko E(5)(22), de Magalhães JP(1)(23), Artemov AV(5), 
Costes SV(24), Beheshti A(25)(26), Mao XW(27), Pecaut MJ(27), Kaminskiy 
D(1)(28), Ozerov IV(5)(6), Scheibye-Knudsen M(29), Zhavoronkov A(1)(5).

Author information:
(1)Biogerontology Research Foundation, London, UK.
(2)Department of Biomedical and Molecular Sciences, Queen's University School of 
Medicine, Queen's University, Kingston, Ontario, Canada.
(3)Canadian Nuclear Laboratories, Chalk River, Ontario, Canada.
(4)Department of Biochemistry, Microbiology and Immunology, University of 
Ottawa, Ottawa, Ontario, Canada.
(5)Insilico Medicine, Inc., Emerging Technology Centers, Johns Hopkins 
University, Baltimore, MD, USA.
(6)State Research Center - Burnasyan Federal Medical Biophysical Center of 
Federal Medical Biological Agency, Moscow, Russia.
(7)Moscow Institute of Physics and Technology, Dolgoprudny, Russia.
(8)Nuffield Department of Medicine, Target Discovery Institute, University of 
Oxford, Oxford, UK.
(9)Laboratory of Molecular Radiobiology and Gerontology, Institute of Biology of 
Komi Science Center of Ural Branch of Russian Academy of Sciences, Syktyvkar, 
Russia.
(10)Engelhardt Institute of Molecular Biology of Russian Academy of Sciences, 
Moscow, Russia.
(11)Boston University, Department of Biomedical Engineering, Boston, MA, USA.
(12)Laboratory of Bioinformatics, D. Rogachev Federal Medical Research Center of 
Pediatric Hematology, Oncology and Immunology, Moscow, Russia.
(13)Computer Science Department, University of Oxford, Oxford, UK.
(14)Laboratory of Physicochemical and Ecological Pathophysiology, Institute of 
General Pathology and Pathophysiology, Moscow, Russia.
(15)Research Institute for Space Medicine, Federal Medical Biological Agency, 
Moscow, Russia.
(16)Canada Cancer and Aging Research Laboratories, Ltd., Lethbridge, Alberta, 
Canada.
(17)University of Lethbridge, Lethbridge, Alberta, Canada.
(18)Environmental and Radiation and Health Sciences Directorate, Health Canada, 
Ottawa, Ontario, Canada.
(19)Laboratory of Extreme Physiology, Institute of Medical and Biological 
Problems RAS, Moscow, Russia.
(20)Radiobiology Unit, Interdisciplinary Biosciences, Institute for Environment, 
Health and Safety, Belgian Nuclear Research Centre, (SCK·CEN), Mol, Belgium.
(21)Department of Molecular Biotechnology, Ghent University, Ghent, Belgium.
(22)The Johns Hopkins University, School of Medicine, Department of 
Otolaryngology, Head and Neck Cancer Research, Baltimore, MD, USA.
(23)Integrative Genomics of Ageing Group, Institute of Ageing and Chronic 
Disease, University of Liverpool, Liverpool, UK.
(24)NASA Ames Research Center, Moffett Field, CA, USA.
(25)Wyle Laboratories, Space Biosciences Division, NASA Ames Research Center, 
Mountain View, CA, USA.
(26)Division of Hematology/Oncology, Molecular Oncology Research Institute, 
Tufts Medical Center, Boston, MA, USA.
(27)Department of Basic Sciences, Division of Biomedical Engineering Sciences 
(BMES), Loma Linda University, Loma Linda, CA, USA.
(28)Deep Knowledge Life Sciences, London, UK.
(29)Center for Healthy Aging, University of Copenhagen, Copenhagen, Denmark.

While many efforts have been made to pave the way toward human space 
colonization, little consideration has been given to the methods of protecting 
spacefarers against harsh cosmic and local radioactive environments and the high 
costs associated with protection from the deleterious physiological effects of 
exposure to high-Linear energy transfer (high-LET) radiation. Herein, we lay the 
foundations of a roadmap toward enhancing human radioresistance for the purposes 
of deep space colonization and exploration. We outline future research 
directions toward the goal of enhancing human radioresistance, including 
upregulation of endogenous repair and radioprotective mechanisms, possible 
leeways into gene therapy in order to enhance radioresistance via the 
translation of exogenous and engineered DNA repair and radioprotective 
mechanisms, the substitution of organic molecules with fortified isoforms, and 
methods of slowing metabolic activity while preserving cognitive function. We 
conclude by presenting the known associations between radioresistance and 
longevity, and articulating the position that enhancing human radioresistance is 
likely to extend the healthspan of human spacefarers as well.

DOI: 10.18632/oncotarget.24461
PMCID: PMC5865701
PMID: 29581875

Conflict of interest statement: CONFLICTS OF INTEREST Ivan V. Ozerov, Jane 
Schastnaya, Alexander Aliper, Polina Mamoshina, Quentin Vanhaelen, Artem V. 
Artemov, Alex Zhavoronkov, Alexey Moskalev, Evgeny Izumchenko, Dmitry Kaminskiy, 
Charles Cantor are associated with Insilico Medicine, Inc, an artificial 
intelligence company focused on drug discovery and aging research with a number 
of commercial projects in regenerative medicine, aging research geared towards 
increasing human radioresistance and longevity."
Proteomic analysis of mouse brain subjected to spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6337482/,mouse,PMC6337482,30577490,2018 Dec 20,Mao XW,"1. Int J Mol Sci. 2018 Dec 20;20(1):7. doi: 10.3390/ijms20010007.

Proteomic Analysis of Mouse Brain Subjected to Spaceflight.

Mao XW(1), Sandberg LB(2), Gridley DS(3), Herrmann EC(4), Zhang G(5), Raghavan 
R(6), Zubarev RA(7)(8), Zhang B(9)(10), Stodieck LS(11), Ferguson VL(12), 
Bateman TA(13), Pecaut MJ(14).

Author information:
(1)Department of Basic Sciences, Division of Biomedical Engineering Sciences, 
Loma Linda University School of Medicine, Loma Linda, CA 92354, USA. 
xmao@llu.edu.
(2)Department of Biochemistry, Loma Linda University School of Medicine, Loma 
Linda, CA 92350, USA. lsandberg@llu.edu.
(3)Department of Basic Sciences, Division of Biomedical Engineering Sciences, 
Loma Linda University School of Medicine, Loma Linda, CA 92354, USA. 
dgridley@llu.edu.
(4)Department of Biochemistry, Loma Linda University School of Medicine, Loma 
Linda, CA 92350, USA. cherrmann@llu.edu.
(5)Department of Biochemistry, Loma Linda University School of Medicine, Loma 
Linda, CA 92350, USA. guangyuzhang@llu.edu.
(6)Department of Pathology and Human Anatomy, Loma Linda University School of 
Medicine, Loma Linda, CA 92350, USA. rraghavan@llu.edu.
(7)Department of Medical Biochemistry and Biophysics, Biomedicum, Karolinska 
Institutet, SE 17177 Stockholm, Sweden. Roman.Zubarev@ki.se.
(8)Department of Pharmacological and Technological Chemistry, I.M. Sechenov 
First Moscow State Medical University, Moscow 119991, Russia. 
Roman.Zubarev@ki.se.
(9)Department of Medical Biochemistry and Biophysics, Biomedicum, Karolinska 
Institutet, SE 17177 Stockholm, Sweden. Bo.Zhang@ki.se.
(10)Department of Pharmacological and Technological Chemistry, I.M. Sechenov 
First Moscow State Medical University, Moscow 119991, Russia. Bo.Zhang@ki.se.
(11)BioServe Space Technologies, University of Colorado at Boulder, Boulder, CO 
80303, USA. stodieck@colorado.edu.
(12)BioServe Space Technologies, University of Colorado at Boulder, Boulder, CO 
80303, USA. Virginia.Ferguson@colorado.edu.
(13)Department of Bioengineering, University of North Carolina at Chapel Hill, 
Chapel Hill, NC 27599, USA. tbateman@email.unc.edu.
(14)Department of Basic Sciences, Division of Biomedical Engineering Sciences, 
Loma Linda University School of Medicine, Loma Linda, CA 92354, USA. 
mpecaut@llu.edu.

There is evidence that spaceflight poses acute and late risks to the central 
nervous system. To explore possible mechanisms, the proteomic changes following 
spaceflight in mouse brain were characterized. Space Shuttle Atlantis (STS-135) 
was launched from the Kennedy Space Center (KSC) on a 13-day mission. Within 3⁻5 
h after landing, brain tissue was collected to evaluate protein expression 
profiles using quantitative proteomic analysis. Our results showed that there 
were 26 proteins that were significantly altered after spaceflight in the gray 
and/or white matter. While there was no overlap between the white and gray 
matter in terms of individual proteins, there was overlap in terms of function, 
synaptic plasticity, vesical activity, protein/organelle transport, and 
metabolism. Our data demonstrate that exposure to the spaceflight environment 
induces significant changes in protein expression related to neuronal structure 
and metabolic function. This might lead to a significant impact on brain 
structural and functional integrity that could affect the outcome of space 
missions.

DOI: 10.3390/ijms20010007
PMCID: PMC6337482
PMID: 30577490 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no conflict of interest. The 
funders had no role in the design of the study; in the collection, analyses, or 
interpretation of data; in the writing of the manuscript, and in the decision to 
publish the results."
Transcriptomic effects on the mouse heart following 30 days on the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9953463/,mouse,PMC9953463,36830740,2023 Feb 15,Veliz AL,"1. Biomolecules. 2023 Feb 15;13(2):371. doi: 10.3390/biom13020371.

Transcriptomic Effects on the Mouse Heart Following 30 Days on the International 
Space Station.

Veliz AL(1), Mamoun L(1), Hughes L(1), Vega R(1), Holmes B(1), Monteon A(1), 
Bray J(1), Pecaut MJ(2), Kearns-Jonker M(1).

Author information:
(1)Department of Pathology and Human Anatomy, Loma Linda University School of 
Medicine, Loma Linda, CA 92350, USA.
(2)Department of Basic Sciences, Loma Linda University School of Medicine, Loma 
Linda, CA 92350, USA.

Efforts to understand the impact of spaceflight on the human body stem from 
growing interest in long-term space travel. Multiple organ systems are affected 
by microgravity and radiation, including the cardiovascular system. Previous 
transcriptomic studies have sought to reveal the changes in gene expression 
after spaceflight. However, little is known about the impact of long-term 
spaceflight on the mouse heart in vivo. This study focuses on the transcriptomic 
changes in the hearts of female C57BL/6J mice flown on the International Space 
Station (ISS) for 30 days. RNA was isolated from the hearts of three flight and 
three comparable ground control mice and RNA sequencing was performed. Our 
analyses showed that 1147 transcripts were significantly regulated after 
spaceflight. The MAPK, PI3K-Akt, and GPCR signaling pathways were predicted to 
be activated. Transcripts related to cytoskeleton breakdown and organization 
were upregulated, but no significant change in the expression of extracellular 
matrix (ECM) components or oxidative stress pathway-associated transcripts 
occurred. Our results indicate an absence of cellular senescence, and a 
significant upregulation of transcripts associated with the cell cycle. 
Transcripts related to cellular maintenance and survival were most affected by 
spaceflight, suggesting that cardiovascular transcriptome initiates an adaptive 
response to long-term spaceflight.

DOI: 10.3390/biom13020371
PMCID: PMC9953463
PMID: 36830740 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no conflict of interest."
